Apple,"The round fruit of a tree of the rose family, which typically has thin red or green skin and crisp flesh."
Orange,A fruit of various citrus species in the family rutaceae
Dragon fruit,Is the fruit of several different cactus species indigenous to the americas.
Mango,"An edible stone fruit produced by the tropical tree mangifera indica. it is believed to have originated between northwestern myanmar, bangladesh, and northeastern india."
Watermelon,A flowering plant species of the cucurbitaceae family and the name of its edible fruit. has green skin and red inside
Pineapple,A tropical plant with an edible fruit; it is the most economically significant plant in the family bromeliaceae. has like spike in the skin
Durian,"Is a popular fruit, thanks to its unique shape and distinctive aroma, and prickly"
Jackfruit,"Is a species of tree in the fig, mulberry, and breadfruit family. "
Grappe,"Is a fruit, botanically a berry, of the deciduous woody vines of the flowering plant genus vitis."
Strawberry,Is actually a multiple fruit which consists of many tiny individual fruits embedded in a fleshy receptacle. 
Blueberry,Are a widely distributed and widespread group of perennial flowering plants with blue or purple berries. they are classified in the section cyanococcus within the genus vaccinium.
Raspberry,"Is an aggregate fruit, meaning it has many parts joined together. it is similar to a blackberry, but the fruit is hollow on the inside."
Lychee,"Is a monotypic taxon and the sole member in the genus litchi in the soapberry family, sapindaceae."
Kiwi fruit,Is the edible berry of several species of woody vines in the genus actinidia.
Plum,Is a fruit of some species in prunus subg. prunus
Peach,Is a deciduous tree first domesticated and cultivated in zhejiang province of eastern china. 
Papaya,"Is the plant species carica papaya, one of the 21 accepted species in the genus carica of the family caricaceae."
Lemon,Is a yellow citrus fruit. it is related to the orange.
Guava,Is a common tropical fruit cultivated in many tropical and subtropical regions.
Banana,"Is an elongated, edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus musa."
Coconut,"Is a fibrous one-seeded drupe, also known as a dry drupe."